datetime,date,hour,season,year,month,holiday,weekday,workingday,weather_condition,temperature,humidity,windspeed,casual_users,registered_users,total_rentals,day_name,is_weekend,is_rush_hour,is_business_hours,is_evening,is_night,casual_percentage,registered_percentage
2011-01-01 00:00:00,2011-01-01,0,spring,2011,1,0,6,0,1,49.7,81.0,0.0,3,13,16,Saturday,1,0,0,0,1,18.8,81.2
2011-01-01 01:00:00,2011-01-01,1,spring,2011,1,0,6,0,1,48.2,80.0,0.0,8,32,40,Saturday,1,0,0,0,1,20.0,80.0
2011-01-01 02:00:00,2011-01-01,2,spring,2011,1,0,6,0,1,48.2,80.0,0.0,5,27,32,Saturday,1,0,0,0,1,15.6,84.4
2011-01-01 03:00:00,2011-01-01,3,spring,2011,1,0,6,0,1,49.7,75.0,0.0,3,10,13,Saturday,1,0,0,0,1,23.1,76.9
2011-01-01 04:00:00,2011-01-01,4,spring,2011,1,0,6,0,1,49.7,75.0,0.0,0,1,1,Saturday,1,0,0,0,1,0.0,100.0
2011-01-01 05:00:00,2011-01-01,5,spring,2011,1,0,6,0,2,49.7,75.0,6.0,0,1,1,Saturday,1,0,0,0,1,0.0,100.0
2011-01-01 06:00:00,2011-01-01,6,spring,2011,1,0,6,0,1,48.2,80.0,0.0,2,0,2,Saturday,1,0,0,0,0,100.0,0.0
2011-01-01 07:00:00,2011-01-01,7,spring,2011,1,0,6,0,1,46.8,86.0,0.0,1,2,3,Saturday,1,1,0,0,0,33.3,66.7
2011-01-01 08:00:00,2011-01-01,8,spring,2011,1,0,6,0,1,49.7,75.0,0.0,1,7,8,Saturday,1,1,0,0,0,12.5,87.5
2011-01-01 09:00:00,2011-01-01,9,spring,2011,1,0,6,0,1,55.6,76.0,0.0,8,6,14,Saturday,1,0,1,0,0,57.1,42.9
2011-01-01 10:00:00,2011-01-01,10,spring,2011,1,0,6,0,1,60.0,76.0,17.0,12,24,36,Saturday,1,0,1,0,0,33.3,66.7
2011-01-01 11:00:00,2011-01-01,11,spring,2011,1,0,6,0,1,58.6,81.0,19.0,26,30,56,Saturday,1,0,1,0,0,46.4,53.6
2011-01-01 12:00:00,2011-01-01,12,spring,2011,1,0,6,0,1,63.0,77.0,19.0,29,55,84,Saturday,1,0,1,0,0,34.5,65.5
2011-01-01 13:00:00,2011-01-01,13,spring,2011,1,0,6,0,2,65.9,72.0,20.0,47,47,94,Saturday,1,0,1,0,0,50.0,50.0
2011-01-01 14:00:00,2011-01-01,14,spring,2011,1,0,6,0,2,65.9,72.0,19.0,35,71,106,Saturday,1,0,1,0,0,33.0,67.0
2011-01-01 15:00:00,2011-01-01,15,spring,2011,1,0,6,0,2,64.5,77.0,20.0,40,70,110,Saturday,1,0,1,0,0,36.4,63.6
2011-01-01 16:00:00,2011-01-01,16,spring,2011,1,0,6,0,2,63.0,82.0,20.0,41,52,93,Saturday,1,0,1,0,0,44.1,55.9
2011-01-01 17:00:00,2011-01-01,17,spring,2011,1,0,6,0,2,64.5,82.0,19.0,15,52,67,Saturday,1,1,1,0,0,22.4,77.6
2011-01-01 18:00:00,2011-01-01,18,spring,2011,1,0,6,0,3,63.0,88.0,17.0,9,26,35,Saturday,1,1,0,1,0,25.7,74.3
2011-01-01 19:00:00,2011-01-01,19,spring,2011,1,0,6,0,3,63.0,88.0,17.0,6,31,37,Saturday,1,0,0,1,0,16.2,83.8
2011-01-01 20:00:00,2011-01-01,20,spring,2011,1,0,6,0,2,61.5,87.0,17.0,11,25,36,Saturday,1,0,0,1,0,30.6,69.4
2011-01-01 21:00:00,2011-01-01,21,spring,2011,1,0,6,0,2,61.5,87.0,13.0,3,31,34,Saturday,1,0,0,1,0,8.8,91.2
2011-01-01 22:00:00,2011-01-01,22,spring,2011,1,0,6,0,2,61.5,94.0,15.0,11,17,28,Saturday,1,0,0,1,0,39.3,60.7
2011-01-01 23:00:00,2011-01-01,23,spring,2011,1,0,6,0,2,65.9,88.0,20.0,15,24,39,Saturday,1,0,0,0,1,38.5,61.5
2011-01-02 00:00:00,2011-01-02,0,spring,2011,1,0,0,0,2,65.9,88.0,20.0,4,13,17,Sunday,1,0,0,0,1,23.5,76.5
2011-01-02 01:00:00,2011-01-02,1,spring,2011,1,0,0,0,2,64.5,94.0,17.0,1,16,17,Sunday,1,0,0,0,1,5.9,94.1
2011-01-02 02:00:00,2011-01-02,2,spring,2011,1,0,0,0,2,63.0,100.0,19.0,1,8,9,Sunday,1,0,0,0,1,11.1,88.9
2011-01-02 03:00:00,2011-01-02,3,spring,2011,1,0,0,0,2,65.9,94.0,13.0,2,4,6,Sunday,1,0,0,0,1,33.3,66.7
2011-01-02 04:00:00,2011-01-02,4,spring,2011,1,0,0,0,2,65.9,94.0,13.0,2,1,3,Sunday,1,0,0,0,1,66.7,33.3
2011-01-02 06:00:00,2011-01-02,6,spring,2011,1,0,0,0,3,63.0,77.0,20.0,0,2,2,Sunday,1,0,0,0,0,0.0,100.0
2011-01-02 07:00:00,2011-01-02,7,spring,2011,1,0,0,0,2,61.5,76.0,13.0,0,1,1,Sunday,1,1,0,0,0,0.0,100.0
2011-01-02 08:00:00,2011-01-02,8,spring,2011,1,0,0,0,3,61.5,71.0,15.0,0,8,8,Sunday,1,1,0,0,0,0.0,100.0
2011-01-02 09:00:00,2011-01-02,9,spring,2011,1,0,0,0,2,60.0,76.0,15.0,1,19,20,Sunday,1,0,1,0,0,5.0,95.0
2011-01-02 10:00:00,2011-01-02,10,spring,2011,1,0,0,0,2,58.6,81.0,15.0,7,46,53,Sunday,1,0,1,0,0,13.2,86.8
2011-01-02 11:00:00,2011-01-02,11,spring,2011,1,0,0,0,2,58.6,71.0,17.0,16,54,70,Sunday,1,0,1,0,0,22.9,77.1
2011-01-02 12:00:00,2011-01-02,12,spring,2011,1,0,0,0,2,58.6,66.0,20.0,20,73,93,Sunday,1,0,1,0,0,21.5,78.5
2011-01-02 13:00:00,2011-01-02,13,spring,2011,1,0,0,0,2,58.6,66.0,9.0,11,64,75,Sunday,1,0,1,0,0,14.7,85.3
2011-01-02 14:00:00,2011-01-02,14,spring,2011,1,0,0,0,3,58.6,76.0,13.0,4,55,59,Sunday,1,0,1,0,0,6.8,93.2
